"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente"
146,,"2021-22","06/11/2021",12,"Leones del Caracas",6,"José Torres ",1.1,0,0,0,0,0,4,4,1.8,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira"
147,,"2021-22","06/11/2021",12,"Leones del Caracas",7,"Jesus Zambrano ",0.2,1,0,0,0,0,0,3,1.42,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira"
134,"idreud001","2021-22","06/11/2021",12,"Tiburones de la Guaira",1,"Eudis Idrogo ",3.1,3,4,4,0,3,3,15,6.97,0,1,0,0,0,"Estadio Universitario","Leones del Caracas"
135,"ortant001","2021-22","06/11/2021",12,"Tiburones de la Guaira",2,"Anthony Ortega",0,3,4,4,2,1,0,4,23.63,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
136,"cabjea001","2021-22","06/11/2021",12,"Tiburones de la Guaira",3,"Jean Cabrera",1,3,2,2,0,1,0,6,9,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
137,"pinjul001","2021-22","06/11/2021",12,"Tiburones de la Guaira",4,"Julio Pinto",0.2,2,1,1,0,0,0,4,4.5,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
138,"ramedu001","2021-22","06/11/2021",12,"Tiburones de la Guaira",5,"Edubray Ramos",2,1,0,0,0,0,1,7,12.27,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
139,"covraf001","2021-22","06/11/2021",12,"Tiburones de la Guaira",6,"Rafael Cova",0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
140,"hernel001","2021-22","06/11/2021",12,"Tiburones de la Guaira",7,"Nelson Hernandez",1,1,0,0,0,0,1,3,3.38,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
152,,"2021-22","07/11/2021",13,"Cardenales de Lara",1,"Nestor Molina",4,7,5,2,0,0,1,20,5.56,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
153,,"2021-22","07/11/2021",13,"Cardenales de Lara",2,"Luis Carrasco",2,3,0,0,0,0,0,7,1.23,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
154,,"2021-22","07/11/2021",13,"Cardenales de Lara",3,"Elvis Escobar",1,0,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
155,,"2021-22","07/11/2021",13,"Cardenales de Lara",4,"Luís Madero",1,1,0,0,0,0,1,4,4.91,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
156,,"2021-22","07/11/2021",13,"Cardenales de Lara",5,"Shane Greene ",1,0,0,0,0,1,0,4,3.38,1,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
148,"guejun001","2021-22","07/11/2021",13,"Tiburones de la Guaira",1,"Junior Guerra",6,3,1,1,0,0,6,21,1.5,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
149,"smimyl001","2021-22","07/11/2021",13,"Tiburones de la Guaira",2,"Myles Smith",1.1,3,3,3,0,1,1,8,5.06,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
150,"pinjul001","2021-22","07/11/2021",13,"Tiburones de la Guaira",3,"Julio Pinto ",0.1,0,1,1,0,2,0,4,7.71,0,0,0,0,1,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
151,"guzlui001","2021-22","07/11/2021",13,"Tiburones de la Guaira",4,"Luis Guzman ",0.1,2,1,1,0,1,0,5,3,0,1,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
157,,"2021-22","09/11/2021",14,"Aguilas del Zulia",1,"Luis Moncada",1,3,2,1,0,2,0,9,6.35,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
158,,"2021-22","09/11/2021",14,"Aguilas del Zulia",2,"Carlos Betancourt",3,0,0,0,0,0,3,8,1.5,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
159,,"2021-22","09/11/2021",14,"Aguilas del Zulia",3,"Jefferson Medina ",0.1,1,2,2,0,2,0,4,7.71,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
160,,"2021-22","09/11/2021",14,"Aguilas del Zulia",4,"Romulo Sanchez ",0.2,0,0,0,0,2,0,4,3.68,0,0,0,1,0,"Estadio Universitario","Tiburones de la Guaira"
161,,"2021-22","09/11/2021",14,"Aguilas del Zulia",5,"Danny Rondon",2,0,0,0,0,0,1,6,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
162,,"2021-22","09/11/2021",14,"Aguilas del Zulia",6,"Brandon Brosher",1,1,1,1,1,0,3,4,9,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
163,"diavic001","2021-22","09/11/2021",14,"Tiburones de la Guaira",1,"Victor Diaz",3,5,3,3,0,1,1,15,6.08,0,0,0,0,0,"Estadio Universitario","Aguilas del Zulia"
164,"beljoh001","2021-22","09/11/2021",14,"Tiburones de la Guaira",2,"Johan Belisario ",2,2,0,0,0,0,1,8,0,1,0,0,0,0,"Estadio Universitario","Aguilas del Zulia"
165,"paleug001","2021-22","09/11/2021",14,"Tiburones de la Guaira",3,"Eugenio Palma ",1,0,0,0,0,1,0,4,3.18,0,0,0,0,1,"Estadio Universitario","Aguilas del Zulia"
166,"florya001","2021-22","09/11/2021",14,"Tiburones de la Guaira",4,"Ryan Flores ",3,0,0,0,0,0,4,9,5.4,0,0,1,0,0,"Estadio Universitario","Aguilas del Zulia"
171,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",1,"Luis Martinez ",3,1,1,1,0,4,3,14,2.53,0,1,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
172,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",2,"Wilfredo Boscan",0.1,2,1,1,0,0,0,4,9.39,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
173,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",3,"Gabriel Moya",0.2,1,1,1,0,1,0,3,27,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
174,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",4,"Arcenio Leon",1,2,2,2,0,1,1,6,7.36,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
175,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",5,"Yohander Méndez",1,3,2,2,1,1,1,6,4.5,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
176,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",6,"Luis Rico",1.2,2,0,0,0,2,1,8,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
177,,"2021-22","10/11/2021",15,"Navegantes del Magallanes",7,"Robert Zárate",1.1,2,1,1,1,0,1,5,3.18,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira"
167,"cavjor001","2021-22","10/11/2021",15,"Tiburones de la Guaira",1,"Jorgan Cavanerio ",6,3,0,0,0,0,6,20,1.31,1,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes"
168,"covraf001","2021-22","10/11/2021",15,"Tiburones de la Guaira",2,"Rafael Cova",1,2,1,1,1,0,1,5,8.31,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes"
169,"cabjea001","2021-22","10/11/2021",15,"Tiburones de la Guaira",3,"Jean Cabrera",1,0,0,0,0,1,0,4,6.75,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes"
170,"herarn001","2021-22","10/11/2021",15,"Tiburones de la Guaira",4,"Arnaldo Hernandez",1,1,0,0,0,0,1,4,8.31,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes"
178,,"2021-22","11/11/2021",16,"Leones del Caracas",1,"Alex Sanabia",2.2,3,0,0,0,3,1,14,5.68,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
179,,"2021-22","11/11/2021",16,"Leones del Caracas",2,"Yoimer Camacho ",3.1,1,0,0,0,1,2,12,2.13,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
180,,"2021-22","11/11/2021",16,"Leones del Caracas",3,"Franklin Dacosta",1,1,0,0,0,1,0,4,1.69,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
181,,"2021-22","11/11/2021",16,"Leones del Caracas",4,"Andres E. Perez",1,1,0,0,0,0,0,3,13.5,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
182,,"2021-22","11/11/2021",16,"Leones del Caracas",5,"Eduardo Paredes",1,2,1,1,0,0,1,6,2.7,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
183,"smimyl001","2021-22","11/11/2021",16,"Tiburones de la Guaira",1,"Myles Smith ",3,5,4,4,1,2,0,14,7.56,0,1,0,0,0,"Estadio Universitario","Leones del Caracas"
184,"hernel001","2021-22","11/11/2021",16,"Tiburones de la Guaira",2,"Nelson Hernandez",0.2,1,1,1,0,2,0,4,4.5,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
185,"paleug001","2021-22","11/11/2021",16,"Tiburones de la Guaira",3,"Eugenio Palma",1.1,1,0,0,0,0,3,5,2.57,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
186,"mayhec001","2021-22","11/11/2021",16,"Tiburones de la Guaira",4,"Hector Mayora",1,2,2,2,1,0,1,5,6.75,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
187,"pinjul001","2021-22","11/11/2021",16,"Tiburones de la Guaira",5,"Julio Pinto",2,1,0,0,0,0,0,7,4.15,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
188,"jimedu001","2021-22","11/11/2021",16,"Tiburones de la Guaira",6,"Eduardo Jiménez",1,0,0,0,0,0,0,3,10.8,0,0,0,0,0,"Estadio Universitario","Leones del Caracas"
189,,"2021-22","12/11/2021",17,"Navegantes del Magallanes",1,"Wikelman Ramirez ",5,6,3,3,0,2,1,22,3.27,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
190,,"2021-22","12/11/2021",17,"Navegantes del Magallanes",2,"Henderson Alvarez III",1,0,0,0,0,0,0,3,1.59,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
191,,"2021-22","12/11/2021",17,"Navegantes del Magallanes",3,"Carlos Valero ",3,2,1,1,1,0,2,11,3,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira"
192,"idreud001","2021-22","12/11/2021",17,"Tiburones de la Guaira",1,"Eudis Idrogo ",3,5,5,5,2,1,3,14,8.78,0,1,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
193,"suncar001","2021-22","12/11/2021",17,"Tiburones de la Guaira",2,"Carlos Suniaga",1,2,1,1,0,0,0,5,9,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
194,"beljoh001","2021-22","12/11/2021",17,"Tiburones de la Guaira",3,"Johan Belisario",1,1,0,0,0,1,0,4,0,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
195,"acoald001","2021-22","12/11/2021",17,"Tiburones de la Guaira",4,"Aldry Acosta",1,0,2,1,0,2,0,6,2.7,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
196,"garkev001","2021-22","12/11/2021",17,"Tiburones de la Guaira",5,"Kevin Garcia",1.2,2,2,2,0,1,1,8,11.57,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
197,"mayhec001","2021-22","12/11/2021",17,"Tiburones de la Guaira",6,"Hector Mayora",1.1,4,2,2,0,1,3,9,9,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes"
198,"guejun001","2021-22","13/11/2021",18,"Tiburones de la Guaira",1,"Junior Guerra ",6,4,0,0,0,2,4,23,0.75,1,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua"
199,"guzlui001","2021-22","13/11/2021",18,"Tiburones de la Guaira",2,"Luis Guzman",1,0,0,0,0,1,1,4,2.57,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua"
200,"jimedu001","2021-22","13/11/2021",18,"Tiburones de la Guaira",3,"Eduardo Jiménez",1,0,0,0,0,0,1,3,6.75,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua"
201,"herarn001","2021-22","13/11/2021",18,"Tiburones de la Guaira",4,"Arnaldo Hernandez",1,1,0,0,0,0,0,4,6.75,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua"
202,,"2021-22","13/11/2021",18,"Tigres de Aragua",1,"Ramon Garcia ",3,6,4,4,1,0,0,14,7.59,0,1,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
203,,"2021-22","13/11/2021",18,"Tigres de Aragua",2,"Logan Duran",2.2,3,1,1,0,1,4,13,9.6,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
204,,"2021-22","13/11/2021",18,"Tigres de Aragua",3,"Dennis Herrera",1,1,0,0,0,0,2,4,5.4,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
205,,"2021-22","13/11/2021",18,"Tigres de Aragua",4,"Geoff Broussard",0.1,0,0,0,0,0,0,1,7.5,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
206,,"2021-22","13/11/2021",18,"Tigres de Aragua",5,"Ronald Belisario",1,1,0,0,0,2,0,6,9,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
207,,"2021-22","13/11/2021",18,"Tigres de Aragua",6,"Francisco Carrillo",1,1,0,0,0,0,1,4,4.35,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira"
216,,"2021-22","14/11/2021",19,"Bravos de Margarita",1,"Henry Centeno ",6,6,0,0,0,1,4,23,4.38,1,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
217,,"2021-22","14/11/2021",19,"Bravos de Margarita",2,"Yender Cáramo",0.2,3,1,1,0,0,0,5,4.09,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
218,,"2021-22","14/11/2021",19,"Bravos de Margarita",3,"Randy Valladares",1,0,0,0,0,0,1,3,2.25,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
219,,"2021-22","14/11/2021",19,"Bravos de Margarita",4,"Anthony Molina",1.1,1,1,1,0,1,0,6,1.8,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
208,"florya001","2021-22","14/11/2021",19,"Tiburones de la Guaira",1,"Ryan Flores ",4,5,2,2,1,2,3,20,5.21,0,1,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
209,"diavic001","2021-22","14/11/2021",19,"Tiburones de la Guaira",2,"Victor Diaz",0,0,3,2,0,2,0,3,7.43,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
210,"beljoh001","2021-22","14/11/2021",19,"Tiburones de la Guaira",3,"Johan Belisario",0.2,1,1,0,0,1,0,4,0,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
211,"paleug001","2021-22","14/11/2021",19,"Tiburones de la Guaira",4,"Eugenio Palma",0.1,0,0,0,0,0,0,1,2.45,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
212,"pinjul001","2021-22","14/11/2021",19,"Tiburones de la Guaira",5,"Julio Pinto",1,0,0,0,0,1,1,4,3.38,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
213,"covraf001","2021-22","14/11/2021",19,"Tiburones de la Guaira",6,"Rafael Cova",1,0,0,0,0,0,0,3,6.75,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
214,"suncar001","2021-22","14/11/2021",19,"Tiburones de la Guaira",7,"Carlos Suniaga",0.2,0,0,0,0,2,0,3,5.4,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
215,"cabjea001","2021-22","14/11/2021",19,"Tiburones de la Guaira",8,"Jean Cabrera",0.1,0,0,0,0,0,0,1,6.23,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
224,,"2021-22","16/11/2021",20,"Aguilas del Zulia",1,"Arik Sikula ",3.2,6,5,5,0,0,0,17,6.43,0,1,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
225,,"2021-22","16/11/2021",20,"Aguilas del Zulia",2,"Jose Moreno",0,0,2,2,0,3,0,3,7.5,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
226,,"2021-22","16/11/2021",20,"Aguilas del Zulia",3,"Arlett Mavare",1.2,3,0,0,0,0,0,7,3.6,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
227,,"2021-22","16/11/2021",20,"Aguilas del Zulia",4,"Luis Moncada",1.1,0,0,0,0,0,1,3,5.14,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
228,,"2021-22","16/11/2021",20,"Aguilas del Zulia",5,"Eleardo Cabrera",0.1,0,0,0,0,0,0,1,4.5,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
229,,"2021-22","16/11/2021",20,"Aguilas del Zulia",6,"Brandon Brosher",1.1,0,0,0,0,1,1,5,4.15,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
230,,"2021-22","16/11/2021",20,"Aguilas del Zulia",7,"Gumercindo Gonzalez",0.2,0,0,0,0,0,1,2,4.76,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
220,"cavjor001","2021-22","16/11/2021",20,"Tiburones de la Guaira",1,"Jorgan Cavanerio ",6,4,2,1,0,0,2,20,1.35,1,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
221,"acoald001","2021-22","16/11/2021",20,"Tiburones de la Guaira",2,"Aldry Acosta",0.2,3,2,2,0,0,0,5,4.91,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
222,"jimedu001","2021-22","16/11/2021",20,"Tiburones de la Guaira",3,"Eduardo Jiménez ",0.2,1,0,0,0,1,0,4,5.4,0,0,0,0,1,"Estadio Luis Aparicio","Aguilas del Zulia"
223,"herarn001","2021-22","16/11/2021",20,"Tiburones de la Guaira",4,"Arnaldo Hernandez ",1.2,0,0,0,0,0,0,5,5.14,0,0,1,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
236,,"2021-22","17/11/2021",21,"Aguilas del Zulia",1,"Braulio Torres-Perez",4.2,7,3,3,0,2,6,21,7.23,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
237,,"2021-22","17/11/2021",21,"Aguilas del Zulia",2,"Romulo Sanchez",0.2,1,0,0,0,1,0,3,3.18,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
238,,"2021-22","17/11/2021",21,"Aguilas del Zulia",3,"Danny Rondon ",1.2,1,1,1,0,1,1,6,1.17,1,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
239,,"2021-22","17/11/2021",21,"Aguilas del Zulia",4,"Brandon Brosher ",0.1,1,0,0,0,0,0,3,3.86,0,0,0,0,1,"Estadio Luis Aparicio","Tiburones de la Guaira"
240,,"2021-22","17/11/2021",21,"Aguilas del Zulia",5,"Silvino Bracho ",1.2,0,0,0,0,0,2,5,1.69,0,0,1,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
231,"guejun001","2021-22","17/11/2021",21,"Tiburones de la Guaira",1,"Junior Guerra ",5.1,9,5,4,0,1,2,25,2.6,0,1,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
232,"covraf001","2021-22","17/11/2021",21,"Tiburones de la Guaira",2,"Rafael Cova",0.2,1,0,0,0,0,2,3,6,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
233,"infgre001","2021-22","17/11/2021",21,"Tiburones de la Guaira",3,"Gregory Infante",1,0,0,0,0,0,1,3,4.91,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
234,"guzlui001","2021-22","17/11/2021",21,"Tiburones de la Guaira",4,"Luis Guzman",0.1,1,1,1,0,0,1,3,3.68,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
235,"pinjul001","2021-22","17/11/2021",21,"Tiburones de la Guaira",5,"Julio Pinto",0.2,0,0,0,0,0,0,3,3,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
246,,"2021-22","18/11/2021",22,"Aguilas del Zulia",1,"Elvis Araujo",5.1,4,4,4,0,3,6,23,7.5,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
247,,"2021-22","18/11/2021",22,"Aguilas del Zulia",2,"Romulo Sanchez",0.1,0,0,0,0,2,0,3,3.09,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
248,,"2021-22","18/11/2021",22,"Aguilas del Zulia",3,"Will Changarotty",0.1,3,2,2,0,0,0,4,8.22,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
249,,"2021-22","18/11/2021",22,"Aguilas del Zulia",4,"Gumercindo Gonzalez",1,1,0,0,0,0,1,4,4.05,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
250,,"2021-22","18/11/2021",22,"Aguilas del Zulia",5,"Brandon Brosher",1,0,0,0,0,0,2,3,3.18,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
251,,"2021-22","18/11/2021",22,"Aguilas del Zulia",6,"Silvino Bracho ",1,0,0,0,0,1,2,4,1.54,1,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
241,"smimyl001","2021-22","18/11/2021",22,"Tiburones de la Guaira",1,"Myles Smith",4.2,2,0,0,0,4,1,19,4.85,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
242,"beljoh001","2021-22","18/11/2021",22,"Tiburones de la Guaira",2,"Johan Belisario",1.1,1,3,3,0,2,1,7,4.5,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
243,"jimedu001","2021-22","18/11/2021",22,"Tiburones de la Guaira",3,"Eduardo Jiménez",0.2,0,2,2,0,2,1,4,9,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
244,"paleug001","2021-22","18/11/2021",22,"Tiburones de la Guaira",4,"Eugenio Palma ",0.1,1,1,1,1,0,0,2,3.52,0,0,0,1,0,"Estadio Luis Aparicio","Aguilas del Zulia"
245,"acoald001","2021-22","18/11/2021",22,"Tiburones de la Guaira",5,"Aldry Acosta ",1.1,2,1,1,0,0,1,6,5.19,0,1,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
256,,"2021-22","19/11/2021",23,"Aguilas del Zulia",1,"Cesar Jimenez ",4.2,3,3,3,0,3,8,20,4.97,0,1,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
257,,"2021-22","19/11/2021",23,"Aguilas del Zulia",2,"Danny Rondon",0.2,3,2,2,0,1,1,6,2.25,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
258,,"2021-22","19/11/2021",23,"Aguilas del Zulia",3,"Jefferson Medina",0.2,0,0,0,0,0,0,1,6,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
259,,"2021-22","19/11/2021",23,"Aguilas del Zulia",4,"Maicor Leon",0.1,2,2,2,0,0,0,3,54,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
260,,"2021-22","19/11/2021",23,"Aguilas del Zulia",5,"Giussepe Velasquez",0.2,1,0,0,0,1,1,4,0,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
261,,"2021-22","19/11/2021",23,"Aguilas del Zulia",6,"Marcos Tabata",0,0,3,3,0,2,1,3,20.25,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
262,,"2021-22","19/11/2021",23,"Aguilas del Zulia",7,"Zaquiel Puentes",1,2,2,2,0,2,1,6,9,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
263,,"2021-22","19/11/2021",23,"Aguilas del Zulia",8,"Luis Alberto Ramirez",1,0,0,0,0,0,2,3,0,0,0,0,0,0,"Estadio Luis Aparicio","Tiburones de la Guaira"
252,"florya001","2021-22","19/11/2021",23,"Tiburones de la Guaira",1,"Ryan Flores ",6,2,0,0,0,1,3,22,3.96,1,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
253,"infgre001","2021-22","19/11/2021",23,"Tiburones de la Guaira",2,"Gregory Infante",0,2,2,2,0,1,0,3,7.36,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
254,"covraf001","2021-22","19/11/2021",23,"Tiburones de la Guaira",3,"Rafael Cova",1,0,0,0,0,1,1,4,5.14,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
255,"pinjul001","2021-22","19/11/2021",23,"Tiburones de la Guaira",4,"Julio Pinto",2,2,0,0,0,1,0,9,2.25,0,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia"
269,"hernel001","2021-22","20/11/2021",24,"Tiburones de la Guaira",1,"Nelson Hernandez ",1.1,5,4,3,0,1,2,10,7.36,0,1,0,0,0,"Estadio Universitario","Tigres de Aragua"
270,"acoald001","2021-22","20/11/2021",24,"Tiburones de la Guaira",2,"Aldry Acosta",0.2,1,0,0,0,0,0,3,4.82,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
271,"idreud001","2021-22","20/11/2021",24,"Tiburones de la Guaira",3,"Eudis Idrogo",1.1,2,1,1,0,0,0,5,8.59,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
272,"davdav001","2021-22","20/11/2021",24,"Tiburones de la Guaira",4,"David Davalillo",0.1,1,1,1,0,0,0,4,13.5,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
273,"guzlui001","2021-22","20/11/2021",24,"Tiburones de la Guaira",5,"Luis Guzman",0.2,2,3,1,0,0,1,5,4.5,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
274,"beljoh001","2021-22","20/11/2021",24,"Tiburones de la Guaira",6,"Johan Belisario",0.1,1,3,0,1,2,0,4,4.26,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
275,"paleug001","2021-22","20/11/2021",24,"Tiburones de la Guaira",7,"Eugenio Palma",0.1,2,0,0,0,0,0,3,3.38,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
276,"diavic001","2021-22","20/11/2021",24,"Tiburones de la Guaira",8,"Victor Diaz",2,0,0,0,0,0,1,6,6.46,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
277,"infgre001","2021-22","20/11/2021",24,"Tiburones de la Guaira",9,"Gregory Infante",0,4,4,4,1,0,0,4,12.27,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
278,"herarn001","2021-22","20/11/2021",24,"Tiburones de la Guaira",10,"Arnaldo Hernandez",1.2,2,2,2,1,0,1,7,6.23,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
279,"medhen001","2021-22","20/11/2021",24,"Tiburones de la Guaira",11,"Henry Medina",0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua"
264,,"2021-22","20/11/2021",24,"Tigres de Aragua",1,"Elih Villanueva ",5.1,10,8,7,1,2,2,27,4.84,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira"
