years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf
1970-71,P. Casanova,29,58,,217,20,58,5,2,3,20,1,,,,0.267,,0.35,0,,,76,10,,,
1970-71,A. Bravo,28,48,,159,21,40,11,0,1,12,2,,,,0.252,,0.34,0,,,54,12,,,
1970-71,J. Yanes,21,2,,4,0,1,0,0,0,0,0,,,,0.25,,0.25,0,,,1,0,,,
1970-71,E. Hernández,21,55,,212,27,51,9,3,0,8,2,,,,0.241,,0.311,0,,,66,12,,,
1970-71,O. Blanco,25,43,,143,14,34,4,1,3,12,1,,,,0.238,,0.343,0,,,49,8,,,
1970-71,J. Romero,28,4,,9,1,2,0,0,0,0,0,,,,0.222,,0.222,0,,,2,0,,,
1970-71,A. Ortiz,21,7,,5,1,1,0,0,0,0,0,,,,0.2,,0.2,0,,,1,0,,,
1970-71,R. Marcano,19,22,,37,5,7,3,0,1,4,1,,,,0.189,,0.351,0,,,13,4,,,
1970-71,O. Pena,37,10,,11,1,2,0,0,0,0,0,,,,0.182,,0.182,0,,,2,0,,,
1970-71,A. Correa,22,36,,42,6,7,2,0,0,1,0,,,,0.167,,0.214,0,,,9,2,,,
1970-71,A. Phillips,29,12,,37,9,6,1,0,0,0,6,,,,0.162,,0.189,0,,,7,1,,,
1970-71,M. Epstein,27,14,,51,3,8,1,0,2,5,1,,,,0.157,,0.294,0,,,15,3,,,
1970-71,C. Cox,29,7,,13,0,2,0,0,0,1,0,,,,0.154,,0.154,0,,,2,0,,,
1970-71,L. Gura,23,5,,8,1,1,0,0,0,0,0,,,,0.125,,0.125,0,,,1,0,,,
1970-71,M. López,27,12,,8,1,1,0,0,0,0,0,,,,0.125,,0.125,0,,,1,0,,,
1970-71,J. Cram,23,16,,25,1,3,0,0,0,0,0,,,,0.12,,0.12,0,,,3,0,,,
1970-71,S. Barber,22,10,,13,0,1,0,0,0,1,0,,,,0.077,,0.077,0,,,1,0,,,
1970-71,D. Coombs,28,7,,15,1,1,0,0,0,0,0,,,,0.067,,0.067,0,,,1,0,,,
1970-71,C. Moreno,23,14,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1970-71,C. Salas,20,2,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1970-71,R. Romero,23,4,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1970-71,V. Patino,20,9,,3,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1970-71,L. García,41,4,,6,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1970-71,E. Gutierrez,25,1,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1970-71,H. Urbano,29,9,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1971-72,P. Kelly,27,32,,115,19,46,8,3,0,14,9,,,,0.4,,0.522,0,,,60,11,,,
1971-72,J. Cardenal,28,22,,83,13,28,3,0,1,16,10,,,,0.337,,0.41,0,,,34,4,,,
1971-72,J. Rooker,29,7,,12,3,4,0,0,0,2,0,,,,0.333,,0.333,0,,,4,0,,,
1971-72,L. Piniella,28,27,,103,13,34,7,1,1,11,1,,,,0.33,,0.447,0,,,46,9,,,
1971-72,J. Yanes,22,6,,10,1,3,0,0,0,1,0,,,,0.3,,0.3,0,,,3,0,,,
1971-72,D. Thomas,20,25,,94,10,28,5,1,0,8,2,,,,0.298,,0.372,0,,,35,6,,,
1971-72,J. Herrera,29,33,,95,9,28,8,0,0,8,1,,,,0.295,,0.379,0,,,36,8,,,
1971-72,A. Correa,23,30,,49,6,14,2,0,0,4,0,,,,0.286,,0.327,0,,,16,2,,,
1971-72,E. Camejo,27,11,,7,1,2,1,0,1,4,0,,,,0.286,,0.857,0,,,6,2,,,
1971-72,O. Blanco,26,59,,204,21,56,6,1,3,20,2,,,,0.275,,0.358,0,,,73,10,,,
1971-72,A. Phillips,30,7,,22,6,6,1,0,0,2,0,,,,0.273,,0.318,0,,,7,1,,,
1971-72,R. Hermoso,24,61,,242,24,64,5,3,0,13,5,,,,0.264,,0.31,0,,,75,8,,,
1971-72,R. Marcano,20,42,,129,15,33,2,1,6,26,0,,,,0.256,,0.426,0,,,55,9,,,
1971-72,P. Casanova,30,32,,121,6,31,4,0,1,14,0,,,,0.256,,0.314,0,,,38,5,,,
1971-72,J. Montague,24,16,,24,2,6,0,0,0,3,0,,,,0.25,,0.25,0,,,6,0,,,
1971-72,A. Bravo,29,58,,222,28,52,3,7,0,7,3,,,,0.234,,0.311,0,,,69,10,,,
1971-72,E. Hernández,22,24,,103,11,23,1,2,0,3,1,,,,0.223,,0.272,0,,,28,3,,,
1971-72,O. Troconis,22,9,,9,0,2,0,0,0,0,0,,,,0.222,,0.222,0,,,2,0,,,
1971-72,L. Cardenas,33,22,,79,7,15,5,0,1,6,0,,,,0.19,,0.291,0,,,23,6,,,
1971-72,B. Smith,30,24,,70,8,12,4,0,1,8,0,,,,0.171,,0.271,0,,,19,5,,,
1971-72,J. Hutto,24,27,,91,5,15,1,0,2,11,1,,,,0.165,,0.242,0,,,22,3,,,
1971-72,C. Salas,21,9,,19,0,2,0,0,0,0,0,,,,0.105,,0.105,0,,,2,0,,,
1971-72,A. Corro,23,13,,10,1,1,0,0,0,0,0,,,,0.1,,0.1,0,,,1,0,,,
1971-72,R. Gardner,27,21,,32,1,3,1,0,0,0,0,,,,0.094,,0.125,0,,,4,1,,,
1971-72,A. Monteagudo,28,18,,41,1,3,0,0,0,0,0,,,,0.073,,0.073,0,,,3,0,,,
1971-72,L. Tiant,31,17,,34,1,2,0,0,0,1,0,,,,0.059,,0.059,0,,,2,0,,,
1971-72,H. Brito,25,13,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1971-72,C. Moreno,24,7,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1971-72,O. Pena,38,27,,11,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1971-72,V. Patino,21,8,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1971-72,H. Artiles,19,2,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1971-72,A. Liscano,0,1,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1971-72,R. Blanco,17,2,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1971-72,J. Romero,29,1,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1972-73,J. Cardenal,29,24,,91,13,32,6,3,1,17,4,,,,0.352,,0.516,0,,,47,10,,,
1972-73,A. Liscano,0,12,,6,0,2,0,0,0,0,0,,,,0.333,,0.333,0,,,2,0,,,
1972-73,A. Bumbry,25,24,,97,19,30,2,4,2,12,2,,,,0.309,,0.474,0,,,46,8,,,
1972-73,H. Artiles,20,10,,13,0,4,0,0,0,1,0,,,,0.308,,0.308,0,,,4,0,,,
1972-73,P. Casanova,31,49,,185,19,57,6,2,4,27,0,,,,0.308,,0.427,0,,,79,12,,,
1972-73,R. Hermoso,25,61,,257,28,78,4,1,0,27,1,,,,0.304,,0.327,0,,,84,5,,,
1972-73,P. Kelly,28,35,,125,26,37,6,2,2,10,9,,,,0.296,,0.424,0,,,53,10,,,
1972-73,A. Bravo,30,45,,134,26,39,5,1,0,10,4,,,,0.291,,0.343,0,,,46,6,,,
1972-73,E. Nuñez,27,8,,21,0,6,1,0,0,3,0,,,,0.286,,0.333,0,,,7,1,,,
1972-73,I. Murrell,29,49,,183,27,52,8,0,13,29,1,,,,0.284,,0.541,0,,,99,21,,,
1972-73,E. Hernández,23,53,,211,22,59,5,1,0,16,17,,,,0.28,,0.313,0,,,66,6,,,
1972-73,O. Blanco,27,60,,215,28,60,13,3,5,38,3,,,,0.279,,0.437,0,,,94,21,,,
1972-73,J. Herrera,30,39,,142,10,36,7,0,0,25,2,,,,0.254,,0.303,0,,,43,7,,,
1972-73,R. Velarde,23,6,,16,1,4,0,0,0,0,0,,,,0.25,,0.25,0,,,4,0,,,
1972-73,L. Tiant,32,9,,25,3,6,1,0,0,2,0,,,,0.24,,0.28,0,,,7,1,,,
1972-73,E. Camejo,28,22,,62,5,14,5,0,0,2,0,,,,0.226,,0.306,0,,,19,5,,,
1972-73,A. Correa,24,26,,58,7,13,3,1,0,7,1,,,,0.224,,0.31,0,,,18,4,,,
1972-73,C. Moreno,25,17,,9,1,2,0,1,0,1,0,,,,0.222,,0.444,0,,,4,1,,,
1972-73,B. Parker,30,12,,41,5,9,1,0,0,7,0,,,,0.22,,0.244,0,,,10,1,,,
1972-73,O. Troconis,23,21,,60,3,13,1,0,0,1,1,,,,0.217,,0.233,0,,,14,1,,,
1972-73,L. Valbuena,19,6,,14,0,3,0,0,0,1,0,,,,0.214,,0.214,0,,,3,0,,,
1972-73,C. Salas,22,28,,89,6,19,1,0,0,12,2,,,,0.213,,0.225,0,,,20,1,,,
1972-73,J. Rooker,30,23,,59,6,12,0,0,1,4,0,,,,0.203,,0.254,0,,,15,1,,,
1972-73,T. Murphy,27,10,,15,2,3,0,0,0,2,0,,,,0.2,,0.2,0,,,3,0,,,
1972-73,L. Duran,22,21,,51,5,10,2,1,0,10,2,,,,0.196,,0.275,0,,,14,3,,,
1972-73,A. Corro,24,11,,32,7,6,0,0,0,0,1,,,,0.188,,0.188,0,,,6,0,,,
1972-73,K. Forsch,26,19,,44,3,8,1,1,1,2,0,,,,0.182,,0.318,0,,,14,3,,,
1972-73,W. González,0,6,,11,2,2,0,0,0,0,0,,,,0.182,,0.182,0,,,2,0,,,
1972-73,R. Marcano,21,31,,79,6,14,2,2,0,6,0,,,,0.177,,0.253,0,,,20,4,,,
1972-73,M. García,30,8,,32,4,5,3,1,0,3,0,,,,0.156,,0.313,0,,,10,4,,,
1972-73,M. Malave,19,12,,32,1,5,0,0,0,0,0,,,,0.156,,0.156,0,,,5,0,,,
1972-73,J. Padron,0,10,,25,1,3,0,0,0,0,0,,,,0.12,,0.12,0,,,3,0,,,
1972-73,V. Patino,22,2,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,L. Sánchez,19,5,,5,1,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,A. Monteagudo,29,13,,12,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,C. Pascual,38,13,,2,1,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,H. Urbano,31,7,,5,1,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,R. Blanco,18,5,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,A. Fitzmorris,26,5,,3,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,D. González,0,2,,9,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1972-73,H. Brito,26,8,,2,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1973-74,C. Moreno,26,10,,2,0,1,0,0,0,0,0,,,,0.5,,0.5,0,,,1,0,,,
1973-74,T. Griffin,25,11,,18,4,8,0,0,2,5,0,,,,0.444,,0.778,0,,,14,2,,,
1973-74,A. Bumbry,26,48,,196,45,72,12,6,5,43,20,,,,0.367,,0.566,0,,,111,23,,,
1973-74,R. Hermoso,26,50,,196,35,66,10,2,0,21,6,,,,0.337,,0.408,0,,,80,12,,,
1973-74,O. Troconis,24,17,,18,2,6,1,0,0,3,0,,,,0.333,,0.389,0,,,7,1,,,
1973-74,A. Bravo,31,44,,130,17,42,3,3,0,9,2,,,,0.323,,0.392,0,,,51,6,,,
1973-74,L. Stanton,27,53,,218,38,70,7,5,12,50,2,,,,0.321,,0.564,0,,,123,24,,,
1973-74,R. Marcano,22,52,,199,28,61,12,5,2,17,4,,,,0.307,,0.447,0,,,89,19,,,
1973-74,R. Burris,23,10,,10,0,3,1,0,0,0,0,,,,0.3,,0.4,0,,,4,1,,,
1973-74,P. Casanova,32,55,,214,22,64,6,0,2,31,0,,,,0.299,,0.355,0,,,76,8,,,
1973-74,E. Hernández,24,53,,207,36,59,3,2,0,12,14,,,,0.285,,0.319,0,,,66,5,,,
1973-74,J. Jeter,29,47,,187,31,53,7,2,4,30,5,,,,0.283,,0.406,0,,,76,13,,,
1973-74,L. Duran,23,8,,4,2,1,0,0,0,0,0,,,,0.25,,0.25,0,,,1,0,,,
1973-74,B. Raziano,26,2,,4,0,1,1,0,0,0,0,,,,0.25,,0.5,0,,,2,1,,,
1973-74,J. Herrera,31,51,,166,13,41,7,2,0,17,1,,,,0.247,,0.313,0,,,52,9,,,
1973-74,A. Correa,25,19,,35,1,8,2,0,0,1,0,,,,0.229,,0.286,0,,,10,2,,,
1973-74,O. Zamora,29,33,,23,2,5,3,0,1,1,0,,,,0.217,,0.478,0,,,11,4,,,
1973-74,O. Blanco,28,53,,152,16,33,5,0,1,12,3,,,,0.217,,0.27,0,,,41,6,,,
1973-74,L. Pitlock,26,19,,22,1,4,0,0,0,3,0,,,,0.182,,0.182,0,,,4,0,,,
1973-74,M. Malave,20,14,,20,3,3,0,0,0,0,0,,,,0.15,,0.15,0,,,3,0,,,
1973-74,J. Crawford,23,21,,34,2,5,1,0,0,0,0,,,,0.147,,0.176,0,,,6,1,,,
1973-74,K. Forsch,27,10,,11,0,1,0,0,0,0,0,,,,0.091,,0.091,0,,,1,0,,,
1973-74,A. Monteagudo,30,24,,26,2,2,1,0,0,0,0,,,,0.077,,0.115,0,,,3,1,,,
1973-74,C. Salas,23,8,,14,0,1,0,0,0,0,0,,,,0.071,,0.071,0,,,1,0,,,
1973-74,R. Blanco,19,9,,2,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1973-74,R. Moreno,18,3,,6,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1973-74,E. Camejo,29,4,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1973-74,L. Sánchez,20,1,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1973-74,H. Brito,27,8,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1973-74,T. Moore,25,1,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1974-75,A. Bumbry,27,40,,147,30,52,6,4,2,21,5,,,,0.354,,0.49,0,,,72,12,,,
1974-75,A. Bravo,32,60,,233,44,78,11,2,0,21,7,,,,0.335,,0.399,0,,,93,13,,,
1974-75,M. Malave,21,11,,6,1,2,0,1,0,0,0,,,,0.333,,0.667,0,,,4,1,,,
1974-75,R. Office,22,34,,126,10,37,5,1,1,21,1,,,,0.294,,0.373,0,,,47,7,,,
1974-75,R. Marcano,23,48,,174,23,50,5,2,1,17,1,,,,0.287,,0.356,0,,,62,8,,,
1974-75,J. Herrera,32,38,,141,8,40,3,2,0,24,0,,,,0.284,,0.333,0,,,47,5,,,
1974-75,S. Jackson,0,28,,95,15,26,1,0,0,6,1,,,,0.274,,0.284,0,,,27,1,,,
1974-75,R. Hermoso,27,43,,169,23,46,4,2,0,13,5,,,,0.272,,0.32,0,,,54,6,,,
1974-75,E. Hernández,25,46,,184,25,46,5,0,0,7,4,,,,0.25,,0.277,0,,,51,5,,,
1974-75,C. Salas,24,10,,4,1,1,0,0,0,0,0,,,,0.25,,0.25,0,,,1,0,,,
1974-75,O. Blanco,29,52,,181,19,45,5,1,2,20,0,,,,0.249,,0.32,0,,,58,8,,,
1974-75,D. Baker,25,53,,188,28,42,7,3,5,30,6,,,,0.223,,0.372,0,,,70,15,,,
1974-75,L. Stanton,28,25,,90,16,20,2,1,4,10,0,,,,0.222,,0.4,0,,,36,7,,,
1974-75,P. Casanova,33,58,,210,10,38,4,0,1,18,1,,,,0.181,,0.214,0,,,45,5,,,
1974-75,V. Colina,29,12,,44,2,7,0,1,0,2,0,,,,0.159,,0.205,0,,,9,1,,,
1974-75,A. Correa,26,10,,17,3,2,1,0,0,0,1,,,,0.118,,0.176,0,,,3,1,,,
1974-75,O. Troconis,25,9,,23,0,1,0,0,0,0,0,,,,0.043,,0.043,0,,,1,0,,,
1974-75,J. Monasterios,20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1974-75,C. Moreno,27,7,,,,,,,,,,,,,,,,,,,,,,,
1974-75,O. Zamora,30,22,,,,,,,,,,,,,,,,,,,,,,,
1974-75,H. Brito,28,11,,,,,,,,,,,,,,,,,,,,,,,
1974-75,D. Bird,24,20,,,,,,,,,,,,,,,,,,,,,,,
1974-75,A. Monteagudo,31,16,,,,,,,,,,,,,,,,,,,,,,,
1974-75,A. Liscano,0,1,,,,,,,,,,,,,,,,,,,,,,,
1974-75,V. Patino,24,2,,,,,,,,,,,,,,,,,,,,,,,
1974-75,T. House,27,18,,,,,,,,,,,,,,,,,,,,,,,
1974-75,R. Blanco,20,3,,,,,,,,,,,,,,,,,,,,,,,
1974-75,R. Harrison,28,11,,,,,,,,,,,,,,,,,,,,,,,
1974-75,G. Lance,26,4,,,,,,,,,,,,,,,,,,,,,,,
1974-75,L. Sánchez,21,6,,,,,,,,,,,,,,,,,,,,,,,
1974-75,K. Kravec,23,5,,,,,,,,,,,,,,,,,,,,,,,
1976-77,V. Colina,31,36,,97,17,33,2,1,0,12,0,,,,0.34,,0.381,0,,,37,3,,,
1976-77,A. Bravo,34,57,,224,44,76,11,3,1,26,5,,,,0.339,,0.429,0,,,96,15,,,
1976-77,P. Pérez,25,32,,84,10,28,5,3,0,17,0,,,,0.333,,0.464,0,,,39,8,,,
1976-77,J. Monasterios,22,50,,160,23,53,2,0,0,22,2,,,,0.331,,0.344,0,,,55,2,,,
1976-77,R. Dauer,24,42,,172,18,57,4,1,1,19,1,,,,0.331,,0.384,0,,,66,6,,,
1976-77,D. Murphy,0,16,,55,12,18,3,0,0,4,1,,,,0.327,,0.382,0,,,21,3,,,
1976-77,S. Patchin,0,56,,207,28,64,11,2,6,35,0,,,,0.309,,0.469,0,,,97,19,,,
1976-77,S. Staggs,25,30,,118,18,36,4,2,2,19,9,,,,0.305,,0.424,0,,,50,8,,,
1976-77,O. Blanco,31,52,,170,27,51,10,2,1,25,1,,,,0.3,,0.4,0,,,68,13,,,
1976-77,G. Enright,22,3,,7,0,2,0,0,0,0,0,,,,0.286,,0.286,0,,,2,0,,,
1976-77,M. Ramírez,26,24,,92,14,26,2,0,1,12,0,,,,0.283,,0.337,0,,,31,3,,,
1976-77,D. May,33,57,,224,40,63,14,2,6,35,6,,,,0.281,,0.442,0,,,99,22,,,
1976-77,L. Salazar,20,46,,149,15,41,6,3,1,15,1,,,,0.275,,0.376,0,,,56,10,,,
1976-77,R. Marcano,25,34,,138,24,38,6,0,3,15,0,,,,0.275,,0.384,0,,,53,9,,,
1976-77,C. Gaston,32,56,,221,26,58,5,2,4,38,0,,,,0.262,,0.357,0,,,79,11,,,
1976-77,A. Correa,28,24,,62,15,16,2,0,0,6,2,,,,0.258,,0.29,0,,,18,2,,,
1976-77,C. Salas,26,7,,8,0,2,0,0,0,0,0,,,,0.25,,0.25,0,,,2,0,,,
1976-77,L. Morales,19,10,,13,0,3,0,0,0,1,0,,,,0.231,,0.231,0,,,3,0,,,
1976-77,E. Hernández,27,6,,25,4,5,0,1,0,3,1,,,,0.2,,0.28,0,,,7,1,,,
1976-77,M. Cubbage,26,11,,46,10,9,1,0,0,3,0,,,,0.196,,0.217,0,,,10,1,,,
1976-77,R. Jones,21,17,,52,6,10,0,3,0,2,1,,,,0.192,,0.308,0,,,16,3,,,
1976-77,G. Ferrer,18,4,,8,0,1,0,0,0,0,0,,,,0.125,,0.125,0,,,1,0,,,
1976-77,J. Cardenal,33,9,,29,2,2,0,0,0,1,0,,,,0.069,,0.069,0,,,2,0,,,
1976-77,L. Gura,29,12,,,,,,,,,,,,,,,,,,,,,,,
1976-77,L. Lunar,21,13,,,,,,,,,,,,,,,,,,,,,,,
1976-77,L. Sánchez,23,2,,,,,,,,,,,,,,,,,,,,,,,
1976-77,A. Devine,25,7,,,,,,,,,,,,,,,,,,,,,,,
1976-77,D. Pole,26,3,,,,,,,,,,,,,,,,,,,,,,,
1976-77,J. Berenguer,22,4,,,,,,,,,,,,,,,,,,,,,,,
1976-77,S. Luebber,27,10,,,,,,,,,,,,,,,,,,,,,,,
1976-77,C. Moreno,29,5,,0,2,0,0,0,0,0,0,,,,,,,,,,0,0,,,
1976-77,T. Bradley,29,2,,,,,,,,,,,,,,,,,,,,,,,
1976-77,B. Johnson,33,28,,,,,,,,,,,,,,,,,,,,,,,
1976-77,E. Bass,24,24,,,,,,,,,,,,,,,,,,,,,,,
1976-77,T. Chevez,23,3,,,,,,,,,,,,,,,,,,,,,,,
1976-77,D. Konieczny,25,3,,,,,,,,,,,,,,,,,,,,,,,
1976-77,R. Blanco,22,4,,,,,,,,,,,,,,,,,,,,,,,
1976-77,P. Siebert,23,16,,,,,,,,,,,,,,,,,,,,,,,
1976-77,M. Kekich,31,9,,,,,,,,,,,,,,,,,,,,,,,
1976-77,A. Monteagudo,33,25,,,,,,,,,,,,,,,,,,,,,,,
1977-78,E. Verhelst,20,5,,9,1,3,1,0,0,0,0,,,,0.333,,0.444,0,,,4,1,,,
1977-78,R. Alcala,19,1,,3,1,1,0,0,0,1,0,,,,0.333,,0.333,0,,,1,0,,,
1977-78,O. Blanco,32,66,,240,51,78,16,1,6,48,1,,,,0.325,,0.475,0,,,114,23,,,
1977-78,A. Bravo,35,62,,240,38,77,12,1,1,27,5,,,,0.321,,0.392,0,,,94,14,,,
1977-78,J. Monasterios,23,64,,252,29,79,11,3,0,29,7,,,,0.313,,0.381,0,,,96,14,,,
1977-78,G. Clines,31,56,,206,41,64,11,2,6,35,9,,,,0.311,,0.471,0,,,97,19,,,
1977-78,J. Cardenal,34,38,,133,33,41,8,2,2,12,5,,,,0.308,,0.444,0,,,59,12,,,
1977-78,C. Hurdle,20,65,,220,57,67,11,3,18,52,2,,,,0.305,,0.627,0,,,138,32,,,
1977-78,J. Manuel,24,23,,95,15,27,4,2,1,12,0,,,,0.284,,0.4,0,,,38,7,,,
1977-78,J. Wathan,28,39,,143,17,40,8,2,1,25,1,,,,0.28,,0.385,0,,,55,11,,,
1977-78,L. Salazar,21,28,,83,15,23,4,2,2,18,2,,,,0.277,,0.446,0,,,37,8,,,
1977-78,C. Hernández,0,9,,11,3,3,0,0,0,0,0,,,,0.273,,0.273,0,,,3,0,,,
1977-78,R. Meoli,26,42,,150,20,35,4,0,2,15,2,,,,0.233,,0.3,0,,,45,6,,,
1977-78,M. Ramírez,27,43,,133,14,30,2,1,1,20,0,,,,0.226,,0.278,0,,,37,4,,,
1977-78,D. Cripe,26,47,,161,19,36,5,1,2,17,1,,,,0.224,,0.304,0,,,49,8,,,
1977-78,T. McMillan,26,19,,59,11,13,1,0,0,5,3,,,,0.22,,0.237,0,,,14,1,,,
1977-78,R. Marcano,26,19,,66,11,14,4,0,3,9,2,,,,0.212,,0.409,0,,,27,7,,,
1977-78,V. Colina,32,46,,107,10,21,3,0,1,9,0,,,,0.196,,0.252,0,,,27,4,,,
1977-78,P. Pérez,26,21,,45,3,7,1,0,0,4,1,,,,0.156,,0.178,0,,,8,1,,,
1977-78,A. Correa,29,22,,41,5,6,0,0,1,6,0,,,,0.146,,0.22,0,,,9,1,,,
1977-78,R. Pérez Tovar,19,6,,12,1,1,0,0,0,0,0,,,,0.083,,0.083,0,,,1,0,,,
1977-78,G. Ferrer,19,3,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1977-78,M. Daly,0,11,,,,,,,,,,,,,,,,,,,,,,,
1977-78,N. Lira,0,8,,,,,,,,,,,,,,,,,,,,,,,
1977-78,G. Minton,26,15,,,,,,,,,,,,,,,,,,,,,,,
1977-78,J. Berenguer,23,3,,,,,,,,,,,,,,,,,,,,,,,
1977-78,R. Harrison,31,9,,,,,,,,,,,,,,,,,,,,,,,
1977-78,C. Moreno,30,5,,,,,,,,,,,,,,,,,,,,,,,
1977-78,G. Throop,27,6,,,,,,,,,,,,,,,,,,,,,,,
1977-78,G. Lance,29,2,,,,,,,,,,,,,,,,,,,,,,,
1977-78,J. Willoughby,28,12,,,,,,,,,,,,,,,,,,,,,,,
1977-78,D. Clyde,22,5,,,,,,,,,,,,,,,,,,,,,,,
1977-78,A. Griffint,0,5,,,,,,,,,,,,,,,,,,,,,,,
1977-78,A. Monteagudo,34,30,,,,,,,,,,,,,,,,,,,,,,,
1977-78,R. Blanco,23,6,,,,,,,,,,,,,,,,,,,,,,,
1977-78,J. Crawford,27,4,,,,,,,,,,,,,,,,,,,,,,,
1977-78,O. Osborn,31,7,,,,,,,,,,,,,,,,,,,,,,,
1977-78,L. Lunar,22,13,,,,,,,,,,,,,,,,,,,,,,,
1977-78,R. McGilberry,24,11,,,,,,,,,,,,,,,,,,,,,,,
1977-78,R. Newman,32,2,,,,,,,,,,,,,,,,,,,,,,,
1978-79,E. Verhelst,21,6,,12,0,5,0,0,0,1,0,,,,0.417,,0.417,0,,,5,0,,,
1978-79,J. Cardenal,35,9,,36,7,11,2,0,0,6,0,,,,0.306,,0.361,0,,,13,2,,,
1978-79,D. Norman,23,62,,233,39,68,13,7,8,36,1,,,,0.292,,0.511,0,,,119,28,,,
1978-79,R. Cerone,24,38,,136,14,39,12,0,0,24,0,,,,0.287,,0.375,0,,,51,12,,,
1978-79,A. Bumbry,31,43,,156,24,44,7,3,1,15,5,,,,0.282,,0.385,0,,,60,11,,,
1978-79,O. Blanco,33,64,,220,33,60,15,2,4,36,1,,,,0.273,,0.414,0,,,91,21,,,
1978-79,A. Bravo,36,61,,215,29,58,4,0,0,11,0,,,,0.27,,0.288,0,,,62,4,,,
1978-79,L. Salazar,22,50,,151,13,40,4,0,1,5,3,,,,0.265,,0.311,0,,,47,5,,,
1978-79,J. Monasterios,24,53,,226,26,60,10,1,1,27,2,,,,0.265,,0.332,0,,,75,12,,,
1978-79,N. Yost,24,35,,133,15,34,9,2,0,16,1,,,,0.256,,0.353,0,,,47,11,,,
1978-79,E. Hernández,29,62,,231,30,58,8,1,0,12,3,,,,0.251,,0.294,0,,,68,9,,,
1978-79,J. Figueroa,19,1,,4,0,1,0,0,0,0,0,,,,0.25,,0.25,0,,,1,0,,,
1978-79,D. May,35,37,,135,19,32,4,2,2,13,3,,,,0.237,,0.341,0,,,46,8,,,
1978-79,P. Pérez,27,45,,122,7,28,3,0,0,10,0,,,,0.23,,0.254,0,,,31,3,,,
1978-79,J. Terrell,32,28,,98,4,22,2,1,0,7,0,,,,0.224,,0.265,0,,,26,3,,,
1978-79,A. Correa,30,33,,68,4,14,1,0,0,9,0,,,,0.206,,0.221,0,,,15,1,,,
1978-79,R. Marcano,27,22,,80,3,16,3,0,0,13,0,,,,0.2,,0.238,0,,,19,3,,,
1978-79,A. Pedrique,18,6,,11,0,2,0,0,0,1,0,,,,0.182,,0.182,0,,,2,0,,,
1978-79,J. Maddox,25,22,,72,6,10,0,0,0,9,0,,,,0.139,,0.139,0,,,10,0,,,
1978-79,D. Oliver,27,12,,46,1,6,0,0,0,2,0,,,,0.13,,0.13,0,,,6,0,,,
1978-79,V. Colina,33,22,,50,5,6,0,0,0,3,0,,,,0.12,,0.12,0,,,6,0,,,
1978-79,R. Pérez Tovar,20,4,,11,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1978-79,G. Ferrer,20,9,,8,3,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,
1978-79,A. Monteagudo,35,19,,,,,,,,,,,,,,,,,,,,,,,
1978-79,J. Dorsey,23,15,,,,,,,,,,,,,,,,,,,,,,,
1978-79,B. Paschall,24,14,,,,,,,,,,,,,,,,,,,,,,,
